event_id,sport,market_type,selection,opening_line,closing_line,opening_odds,closing_odds,result,timestamp
1,NBA,player_prop,Selection_1,-9.6,-9.7,150,160,1,2023-01-01 00:00:00.000000000
2,NFL,over_under,Selection_2,5.1,6.7,-175,-175,0,2023-01-01 11:41:16.050700466
3,NFL,spread,Selection_3,2.8,2.6,-175,-175,0,2023-01-01 23:22:32.101400933
4,NHL,moneyline,Selection_4,3.2,2.7,250,255,0,2023-01-02 11:03:48.152101400
5,NBA,player_prop,Selection_5,2.5,1.0,175,175,1,2023-01-02 22:45:04.202801867
6,NFL,spread,Selection_6,-2.9,-0.9,200,205,0,2023-01-03 10:26:20.253502334
7,NFL,player_prop,Selection_7,5.4,5.9,-130,-130,1,2023-01-03 22:07:36.304202801
8,NBA,over_under,Selection_8,-9.8,-11.7,-105,-105,1,2023-01-04 09:48:52.354903268
9,NFL,moneyline,Selection_9,-0.5,-2.1,150,150,0,2023-01-04 21:30:08.405603735
10,NBA,spread,Selection_10,-7.4,-7.3,-150,-140,0,2023-01-05 09:11:24.456304202
11,MLB,over_under,Selection_11,-9.7,-7.3,110,115,1,2023-01-05 20:52:40.507004669
12,NFL,moneyline,Selection_12,-4.7,-2.3,105,100,1,2023-01-06 08:33:56.557705136
13,NFL,player_prop,Selection_13,2.6,4.4,-110,-110,0,2023-01-06 20:15:12.608405603
14,NFL,moneyline,Selection_14,4.0,1.8,115,110,0,2023-01-07 07:56:28.659106070
15,NHL,moneyline,Selection_15,5.5,6.8,-200,-200,0,2023-01-07 19:37:44.709806537
16,NFL,spread,Selection_16,-9.6,-9.1,-115,-120,0,2023-01-08 07:19:00.760507004
17,MLB,over_under,Selection_17,-1.2,-1.6,100,90,0,2023-01-08 19:00:16.811207471
18,NFL,moneyline,Selection_18,8.7,8.2,200,190,1,2023-01-09 06:41:32.861907938
19,NBA,over_under,Selection_19,-9.2,-7.5,-200,-210,1,2023-01-09 18:22:48.912608405
20,NFL,moneyline,Selection_20,0.6,2.0,-250,-260,0,2023-01-10 06:04:04.963308872
21,NBA,moneyline,Selection_21,3.8,3.8,130,140,0,2023-01-10 17:45:21.014009339
22,NHL,spread,Selection_22,1.4,5.8,-120,-120,1,2023-01-11 05:26:37.064709806
23,NBA,over_under,Selection_23,5.1,5.7,100,105,1,2023-01-11 17:07:53.115410273
24,NFL,moneyline,Selection_24,6.2,5.8,-130,-140,1,2023-01-12 04:49:09.166110740
25,NBA,spread,Selection_25,1.3,2.5,-105,-110,1,2023-01-12 16:30:25.216811207
26,NFL,player_prop,Selection_26,1.2,1.0,175,180,0,2023-01-13 04:11:41.267511674
27,NBA,spread,Selection_27,-6.2,-6.7,-115,-115,0,2023-01-13 15:52:57.318212141
28,NFL,player_prop,Selection_28,-9.8,-9.9,150,150,1,2023-01-14 03:34:13.368912608
29,MLB,player_prop,Selection_29,5.3,7.1,150,150,0,2023-01-14 15:15:29.419613075
30,NBA,over_under,Selection_30,-1.2,-1.7,105,115,0,2023-01-15 02:56:45.470313542
31,NFL,moneyline,Selection_31,-2.4,-3.8,130,135,1,2023-01-15 14:38:01.521014009
32,NFL,spread,Selection_32,0.6,1.0,130,120,0,2023-01-16 02:19:17.571714476
33,NBA,spread,Selection_33,6.1,5.5,-115,-105,0,2023-01-16 14:00:33.622414943
34,NBA,moneyline,Selection_34,-8.9,-9.1,150,145,0,2023-01-17 01:41:49.673115410
35,NFL,over_under,Selection_35,6.4,7.6,200,200,1,2023-01-17 13:23:05.723815877
36,NBA,spread,Selection_36,-2.5,-5.3,100,95,0,2023-01-18 01:04:21.774516344
37,NFL,spread,Selection_37,-3.4,-0.4,-110,-100,0,2023-01-18 12:45:37.825216811
