entry_id,user_id,contest_id,lineup,total_score,payout,entry_time,rank
1,97,728,"[129, 147, 215, 245, 254, 321, 409, 432]",198.3,190.82,2023-01-01 00:00:00.000000000,47
2,127,136,"[33, 64, 233, 267, 271, 299, 397, 484]",187.6,550.62,2023-01-01 08:45:51.775887943,38
3,246,628,"[156, 284, 295, 348, 397, 435, 442, 459]",167.7,0.0,2023-01-01 17:31:43.551775887,85
4,87,573,"[34, 167, 206, 365, 374, 414, 425, 463]",120.8,253.72,2023-01-02 02:17:35.327663831,50
5,77,529,"[65, 72, 163, 175, 198, 250, 325, 459]",216.7,0.0,2023-01-02 11:03:27.103551775,56
6,204,34,"[66, 108, 165, 169, 182, 251, 397, 433]",102.7,0.0,2023-01-02 19:49:18.879439719,69
7,146,532,"[64, 98, 161, 290, 336, 377, 433, 447]",244.5,634.13,2023-01-03 04:35:10.655327663,28
8,149,208,"[97, 252, 255, 330, 363, 386, 395, 455]",224.4,0.0,2023-01-03 13:21:02.431215607,81
9,111,970,"[92, 193, 222, 255, 280, 371, 379, 494]",273.0,723.88,2023-01-03 22:06:54.207103551,16
10,129,674,"[28, 146, 167, 227, 296, 362, 436, 470]",215.2,187.1,2023-01-04 06:52:45.982991495,41
11,253,299,"[5, 121, 210, 253, 288, 368, 409, 441]",179.9,335.2,2023-01-04 15:38:37.758879439,32
12,166,522,"[134, 136, 178, 248, 267, 274, 366, 476]",117.6,60.21,2023-01-05 00:24:29.534767383,73
13,297,94,"[113, 152, 200, 313, 336, 371, 493, 496]",242.0,234.37,2023-01-05 09:10:21.310655327,25
14,137,414,"[64, 145, 150, 274, 349, 440, 486, 493]",164.0,211.28,2023-01-05 17:56:13.086543271,77
15,279,371,"[77, 123, 137, 208, 299, 313, 431, 469]",200.9,414.17,2023-01-06 02:42:04.862431215,37
16,11,409,"[2, 104, 122, 243, 326, 410, 433, 474]",83.9,49.63,2023-01-06 11:27:56.638319159,99
17,71,383,"[109, 129, 145, 241, 287, 292, 360, 376]",195.2,0.0,2023-01-06 20:13:48.414207103,21
18,159,441,"[33, 81, 153, 224, 300, 341, 349, 429]",226.2,0.0,2023-01-07 04:59:40.190095047,16
19,216,878,"[5, 100, 135, 235, 259, 261, 389, 433]",229.0,0.0,2023-01-07 13:45:31.965982991,79
20,26,447,"[22, 64, 209, 210, 213, 216, 391, 398]",130.6,0.0,2023-01-07 22:31:23.741870935,86
21,286,619,"[32, 88, 209, 328, 381, 417, 444, 468]",178.9,244.9,2023-01-08 07:17:15.517758879,23
22,162,617,"[105, 129, 164, 263, 291, 319, 337, 348]",193.6,0.0,2023-01-08 16:03:07.293646823,23
23,102,71,"[130, 248, 380, 395, 396, 404, 482, 490]",195.8,0.0,2023-01-09 00:48:59.069534767,34
24,69,943,"[18, 104, 285, 307, 312, 387, 477, 479]",240.8,404.17,2023-01-09 09:34:50.845422711,17
25,133,84,"[36, 129, 158, 203, 235, 270, 411, 459]",227.6,0.0,2023-01-09 18:20:42.621310655,76
26,189,209,"[36, 42, 110, 132, 135, 272, 323, 345]",167.0,0.0,2023-01-10 03:06:34.397198599,85
27,211,259,"[43, 45, 94, 121, 230, 247, 265, 328]",137.6,154.52,2023-01-10 11:52:26.173086543,61
28,243,239,"[28, 159, 193, 239, 253, 355, 412, 474]",244.6,0.0,2023-01-10 20:38:17.948974487,81
29,166,302,"[48, 178, 222, 231, 234, 281, 448, 474]",145.2,399.31,2023-01-11 05:24:09.724862431,62
30,61,232,"[39, 97, 305, 337, 415, 423, 429, 491]",189.9,407.31,2023-01-11 14:10:01.500750375,46
31,279,932,"[7, 114, 130, 163, 218, 278, 403, 404]",221.1,448.16,2023-01-11 22:55:53.276638319,7
32,113,282,"[16, 51, 96, 124, 144, 190, 370, 500]",133.9,0.0,2023-01-12 07:41:45.052526263,10
33,30,394,"[107, 108, 116, 120, 161, 344, 415, 434]",194.7,0.0,2023-01-12 16:27:36.828414207,90
34,161,418,"[37, 110, 154, 214, 241, 248, 292, 323]",237.8,313.15,2023-01-13 01:13:28.604302151,46
35,234,206,"[33, 57, 146, 232, 293, 414, 456, 480]",162.2,0.0,2023-01-13 09:59:20.380190095,68
36,170,264,"[221, 256, 264, 315, 352, 354, 388, 426]",159.9,396.66,2023-01-13 18:45:12.156078039,9
37,186,311,"[116, 131, 143, 166, 174, 365, 386, 415]",220.5,424.31,2023-01-14 03:31:03.931965983,16
38,57,859,"[84, 108, 114, 161, 200, 202, 286, 292]",243.6,0.0,2023-01-14 12:16:55.707853927,84
39,240,906,"[28, 29, 39, 267, 394, 446, 448, 460]",184.9,0.0,2023-01-14 21:02:47.483741871,75
40,257,697,"[11, 119, 160, 168, 371, 372, 399, 410]",196.9,210.6,2023-01-15 05:48:39.259629815,4
41,201,626,"[174, 179, 259, 270, 290, 334, 360, 376]",159.4,158.03,2023-01-15 14:34:31.035517759,22
42,106,79,"[32, 177, 263, 352, 425, 431, 464, 466]",196.6,456.94,2023-01-15 23:20:22.811405703,41
43,290,869,"[67, 95, 203, 212, 274, 275, 400, 405]",212.8,0.0,2023-01-16 08:06:14.587293646,23
44,101,342,"[56, 80, 107, 128, 282, 316, 441, 455]",235.4,0.0,2023-01-16 16:52:06.363181590,13
